DealerId,vin,year,price,make,model,style,transmission,engine,mileage,color,stocknum,driveType,vehicleListPrice,PhotoURLs
,JTDBU4EE8DJ114496,2013,12500,Toyota,Corolla,4dr Sdn Auto L,Automatic,4,81682,Barcelona Red Metallic,114496,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/1d164ff959994c1c9dc3951ae959c35b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5be9e4d69a6345e4868e0cb880d7332b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/371a73f61a8143569af38f7bf694eafa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ee6a1b85b3d145bca0360ad22f23ee3c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4e0927276c7e4331a01010daa4dcbcaf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3ccca94dbf25416d9b10ccd66fa371e1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/264d274745764dfea93790392b988b07.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ca4bdaf0e4e44415ac7975ed3d1ce6d5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4f67a49c5d7f4de68dc6f9edbf71f787.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6a75285058f541b4bb1741f221b6207b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/95dff9ed7d1c4391a9b4f9a579d1540f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ab0232723fe3425c9a793ff7f8dd8169.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6cd9d03e12174890b04415d640d0fdd3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9f1f33f72e3d435c94b17cbf320e9e97.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1471bea7e19b427ab200b119db0f4448.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/40f4fb80611b4a4ba5f801a075d86fd2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0345076a68a74c78b2330a644d391beb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e5e7bb70dee14a048b32d34779665c5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1141d2d17ac4406a97cdebc981623e7f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/debc4de2992645429141c69dcd58d808.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ccae8874a77741718336597b2ca91e61.jpg']}"
,1FTBR1Y81LKB05850,2020,28900,Ford,Transit Cargo Van,T-250 130 Low Rf 9070 GVWR RWD,Automatic,6,59204,Oxford White,B05850,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/68bf15c7443b4749bcc9a4d80b7fdf19.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9369c1d30a474406a09b235f45b76ac1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6c8b65596a66465ba5b42ab30d823e4a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0cf828e69f7048d1974329a074aed774.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/989c77e4fef249faa09d87beb8640489.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d29250dba1244c73a0102327036866a4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3a0aacbf933845b2931f16939e366be9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/626ee95adb8e400eb1cbae9b9c6b50b5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2a70027d405346f7a4991315a786e985.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/015e68608b95450a82be02e791bcb2d3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0b0c4ee3b20c4dd3816abd36e390f696.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9d6aa904d3f64448929e4eed61578a9d.jpg']}"
,ZACCJBCT8GPD46880,2016,17500,Jeep,Renegade,4WD 4dr Trailhawk,Automatic,4,46066,Granite Crystal Metallic Clearcoat,D46880,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/50110fcaf3cd4851bc1d4aa484c2fc37.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0e593a72a917434794e7ad0be194edc1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8a1c11e853564026939b868bee02de6e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f9088c4e8cb942ca8212f0e1430b07df.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a4baebfa93014beda8e5a3dd9d18ef8b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9b1439b7fc1545cc99f7121d5abe0d09.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1f2159950e1649bf8d488d9b8fbc5fd2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8d7b689469294c6a92f2b3e031e1d200.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bd760a348a0f4d738508dcdc358a57fe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/faa5734d01a5496ab8d06291f045a2b4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/102bfbc92a0844e3b29c66a4b67bf3da.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/154b7fb9bf834416a3fab092815181a7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ce4ce60573c04489bc9afe63362f797b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/22dd9075ff4d46e8b3fc9e4b5eaccce2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6638c8befa1f476dbc24f05fb18ec11d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b44c111dc7274a709f118cda62a1bdaa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/719e090523124713b54c554e02105d8b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/530c30b481e44fefa700dbfb439e5f2e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4bedf8ccc37942129de2fc9706f67c03.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0a71c6ba6ec149348c308c43bac99804.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b9cc77b92cba4866ae4c21ade971fe0b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c11a7e5372194ceb953513873ad4bcbe.jpg']}"
,5TDBA23C24S024682,2004,10900,Toyota,Sienna,5dr LE AWD,Automatic,6,100194,Desert Sand Mica,024682,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/d1c26928f33d436fb4e0a399cc6f11db.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/45d7643901194ed693785c704ee5f386.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6edeef3777514070b11b220067bf9187.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/36da6373173242b1be6e62902a8d0c49.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0898d2ea73934e359ea9bfe87a0ade33.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/39578d18b4de44d59ce430cc81490e6e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0bf7c65559144d91954bdd49da182340.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7d76b56768664eb9b3497ecda9489e14.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c7a997c2f2824cf7a81066312564046f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d42215effdbb407daf148feda95848ad.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9524ccecb123437188308f392fc26b2d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ed4ce779c68f435e814aa322581ffe7f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/95dbc54cff63422b8cee06f390bce3ba.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/730e58987c5240eaa527b74de09d5149.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6df0bcdcd21e4cdab0d2bb4e8a0b01a0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1c378e54d4404ec08663816fbbe8718a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a252e5012d174a1f8508776783b9410e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b6eb721929d546b69468407e6db04171.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9f3f61b0b7064e5c89ada53178f89f40.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f04d119dcdb848cfaa821530e12fe4ac.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/72c045e220724f9aa5efe6529da95f98.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/99e37f1f75004324ba9b2791f49bd612.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f42a5332c31e4d43b7ba21ca2f076bff.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9434bb673cdc4d50ad6981333ced4a55.jpg']}"
,1N6BF0LY6LN803912,2020,34900,Nissan,NV Cargo,NV2500 HD High Roof V6 S,Automatic,6,39060,Super Black,803912,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/2fa4c087ed5b4d6294b83961a3253797.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4f55788acb044260b05ef14d16c574bc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ef49a63d2472423797cbd8986d7095b9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7a7f1ad74f9a4276a7eb9a4f998dc2ed.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dd6aeead4fd2442a9a0633a52d613d05.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e143b83d629546d2913faedea2e351db.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f2ecf87dc7924e6886ab631b594c05ee.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d4e583016cca48ff87ea21fc3d8a56e0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/94cbcfd11e374ca2adbb31d88cdaec54.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f23e45442eb94c9ca26b078675aaaf9f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0f57c77f2be4467c8cbcad70d487dbf9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/58416b3c13304a458d4998941ddbb468.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0a444d4707f142959fce1e2b95ab0135.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3e4780d6431e4bfb976364d1e3aeca1e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/10503d3bb3b843bcb5a53fe539dfcb26.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0cafcdc0a24c4b95a2845650f5e1474e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/20872c0044b64a69bbb0a230503fe900.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8801c9039fe542bbbc9eb9b9294bd79d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/600ed656a70d46d6a72cccd993c361ff.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/31e46dafcb0844b7ab3e557bf1d700ef.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9e0f5218c657493f98f7387fba4510ad.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/38725719f5444e3eba13f5ed84b20952.jpg']}"
,1N6AD0EV0AC409688,2010,17900,Nissan,Frontier,4WD Crew Cab SWB Auto SE,Automatic,6,54801,Red Alert,409688,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/7bad104e118e437886b6172b7821dee0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b14e1a62a8f649ef8fade205ebb5daaa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/eee0f4ff39ae4c92a19c9c887109a19b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9992958d012340dcb5d2ad41d7a7e5ab.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ddf6326c3e5842418a0b3d99c5907e00.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1ac51ac677254a0b80ce7130bdd18dd0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e6d40036168d4bc7822a5e79054df7cd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3c2cf6f5a5c74107b13d464bfff9047e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1c5a1d0d087042158eaa950d270e3639.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9afdad0b290e469eac4133e8002ba456.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/10d607c908c848018b15d41228d1197b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/aca68cbad72448519f0386f9723b5cb8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/511d082e1dcc4b0a8972623be52a8ee0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/20abb4c4243d46bc9b253eb5ee175e3e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/58164e9338ce4733a8aab5b35450c7be.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a412e4e7f662434b91f4dbcc1beba297.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/66228677bdb044988373df97822fbb62.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b498abe240634457ac16a82173b34991.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1764b0e80fe24a16a53fe3564bcf1872.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/eca2488423df4647950c21b5b330be75.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f4572d1ae6a74f03b833a50f551ac2f6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/442c0e26e518483f8e9726ebe668940c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7763ad7661a647d793ad91d7bb90c60b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/302bb7b84f4b441e917671bee6566f28.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/407d65c012fb4c289754b021b3283b04.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4dab929173624ce1a17403273ec7d96d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c8f4419064404edf8e09b31da3eb7359.jpg']}"
,3VWPL7AJ3EM609784,2014,11900,Volkswagen,Jetta SportWagen,4dr DSG TDI w/Sunroof & Nav,Automatic,4,80940,Black Uni,609784,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/b4a40ac1bb904261b69f8b628d4d27c0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6b0838f2218d4158a3ebbac688f11d3b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/22385a8d68314e87a3dd1d1a3123d017.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0087fd390f754141a20c2aecef1108cf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/08e95e90f2ac4e488132832e6f14defb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4fb6734d75d14ef09ed61d134c85b27e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8f8cf464a38f4bcab5d56e6de583eb84.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1b0897d3d6d54e03a7d922487888372e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f755694e1676407fb5a32c292e9f460a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/85213cd69a1642acadbf9f095df1aef9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/061f326373484b0e9b1f3b47bc3dc2cb.jpg']}"
,JN8AZ2NE2B9007271,2011,14900,INFINITI,QX56,4WD 4dr 7-passenger,Automatic,8,92151,Platinum Graphite,007271,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/e81a2cbf890c43d8b7d38bc520072f35.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/07ee1b27f4514fb3b989474f24754f89.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5e68c81ef1f04c8a88bd94fb45ec1d15.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ce5e4bcc52fa40469ef83889976e5a1d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e507d97b49744db4b9e3debec806d4e6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b2c09dff97b245a4a264443a072ec8a6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7d5bbc2e61ad45ac925ce1fe62eb7d6d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5570a483bf56418cac57c657e4209a91.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f66754a55e304f42bd13db6dea26e520.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1801694a40bd462dbc55c84988f9a489.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6033213c815c44dd92b6cd0e9dfcc7e3.jpg']}"
,1C4PJMAKXCW161895,2012,9900,Jeep,Liberty,4WD 4dr Sport,Automatic,6,83649,Rescue Green Metallic,161895,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/8ad2b3853fb14da085c96bd540a6609f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1f04426db6804bcebe84929825809187.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ae9ebf9256e84085bcaf29300a3cfba6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/949d80c9549b4b98aefaffe60a9f7276.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/85cfecf1447b4da8bd2b7d76c8cc4397.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9ba1a831a4134bd89c9c7c2897f71079.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d1a3e1fb987e4148b75835aa884f598d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ba5f493fd4f54a08a4d9443a4fb5dcf0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4250b7602b924d9fb597fce3bc2c001f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ca22619649f941b2b033bc170ee7d642.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/86525d937487487ab80978b9849f323f.jpg']}"
,JTJHK31U982041806,2008,11500,Lexus,RX 350,AWD 4dr,Automatic,6,114640,Breakwater Blue Metallic,041806,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/601a30974ae74938a66efa9c88152b14.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/59ae5100975347e2b4536523a0a1419e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a93ab4c4b135498aad6984dab52e1763.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/39bee27068394405896c4085f82fed49.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b1415e34a06b498385b4b28bbe670621.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2e07b8fc3187469bbd15959babba728e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8af906d84d4a4eb1bbe4bc2fb73fd95b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d0e9d6b9a4b7437db74a95889220b835.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5dd85e0a964b4871b3d0a3659d919248.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/15015e1fcf3242e997f0a8351774a649.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cdf86bebd2ec4d0fbfe83eeab3c97f96.jpg']}"
